X축 우선순위,총계,,,,,,,,,
나이별,연도,합계(명),전년도(명),성장률(%),구성비(%),목적별,,,,
,,,,,,관광,상용,공용,유학연수,기타
11 ~ 20,2009년 11월,21307,19575,0.088,0,19079,127,227,792,1082
11 ~ 20,2009년 12월,39186,36497,0.074,0,34871,130,299,1242,2644
11 ~ 20,2010년 01월,22664,29356,-0.228,0,20174,65,251,650,1524
11 ~ 20,2010년 02월,36848,23436,0.572,0,31900,53,129,3628,1138
11 ~ 20,2010년 03월,43848,36579,0.199,0,38889,75,171,2847,1866
11 ~ 20,2010년 04월,21251,19784,0.074,0,19341,63,321,363,1163
11 ~ 20,2010년 05월,17987,13928,0.291,0,15756,98,353,421,1359
11 ~ 20,2010년 06월,31945,22775,0.403,0,27263,129,250,1066,3237
11 ~ 20,2010년 07월,61776,44208,0.397,0,56766,108,230,722,3950
11 ~ 20,2010년 08월,79582,62710,0.269,0,69476,178,281,6185,3462
11 ~ 20,2010년 09월,28809,26059,0.106,0,23644,120,82,3755,1208
11 ~ 20,2010년 10월,28077,23421,0.199,0,25894,117,62,824,1180
11 ~ 20,2010년 11월,23919,21307,0.123,0,21700,126,120,558,1415
11 ~ 20,2010년 12월,39153,39186,-0.001,0,34610,112,169,1429,2833
11 ~ 20,2011년 01월,24586,22664,0.085,0,22046,67,158,501,1814
11 ~ 20,2011년 02월,28521,36848,-0.226,0,23580,68,58,3600,1215
11 ~ 20,2011년 03월,45409,43848,0.036,0,40479,98,31,2004,2797
11 ~ 20,2011년 04월,23769,21251,0.118,0,21663,89,197,371,1449
11 ~ 20,2011년 05월,19561,17987,0.088,0,17291,99,138,446,1587
11 ~ 20,2011년 06월,36520,31945,0.143,0,31453,96,88,1170,3713
11 ~ 20,2011년 07월,80105,61776,0.297,0,74813,154,188,635,4315
11 ~ 20,2011년 08월,100436,79582,0.262,0.001,90979,134,278,5205,3840
11 ~ 20,2011년 09월,33978,28809,0.179,0,29155,122,67,3334,1300
11 ~ 20,2011년 10월,31898,28077,0.136,0,29969,135,89,779,926
11 ~ 20,2011년 11월,26685,23919,0.116,0,24611,124,107,521,1322
